id_order,order_date,id_customer,id_branch
5001,8/2/2023,124,3152-136561
5002,13/2/2023,340,31627-114005
5003,12/2/2023,319,59295-293528
5004,8/2/2023,433,32095-301952
5005,13/2/2023,483,57557-291686
5006,1/2/2023,176,3152-136561
5007,22/2/2023,480,56493-290439
5008,3/2/2023,169,48465-263245
5009,15/2/2023,416,60389-294635
5010,21/2/2023,476,56130-290067
5011,18/2/2023,355,57222-291280
5012,10/2/2023,69,33741-253264
5013,18/2/2023,418,50564-275104
5014,9/2/2023,253,31109-103519
5015,17/2/2023,265,48751-264825
5016,9/2/2023,437,51671-278945
5017,2/2/2023,277,47919-260264
5018,17/2/2023,397,29613-254365
5019,25/2/2023,489,48723-262784
5020,23/2/2023,163,33752-97121
5021,21/2/2023,422,33714-23207
5022,15/2/2023,6,33741-253264
5023,17/2/2023,181,65502-299926
5024,15/2/2023,481,61996-296502
5025,17/2/2023,339,48536-263584
5026,27/2/2023,300,58670-292928
5027,8/2/2023,316,47713-259385
5028,3/2/2023,309,20890-188466
5029,25/2/2023,339,29616-254324
5030,14/2/2023,145,63997-298702
5031,5/2/2023,485,33744-95479
5032,3/2/2023,339,19711-188452
5033,6/2/2023,320,18782-188447
5034,27/2/2023,22,23182-228364
5035,16/2/2023,101,28738-250876
5036,26/2/2023,464,20367-205084
5037,6/2/2023,203,29995-256329
5038,25/2/2023,139,33704-289295
5039,14/2/2023,101,18046-188445
5040,25/2/2023,96,30818-102733
5041,9/2/2023,294,33750-296321
5042,4/2/2023,409,21903-216325
5043,21/2/2023,59,20815-207466
5044,15/2/2023,449,51674-278924
5045,9/2/2023,231,55578-289323
5046,3/2/2023,364,31587-117324
5047,15/2/2023,284,33724-54539
5048,5/2/2023,204,26227-243904
5049,25/2/2023,157,17339-169625
5050,25/2/2023,347,33721-44759
5051,27/2/2023,74,58395-292576
5052,22/2/2023,211,24146-235709
5053,26/2/2023,151,54043-286297
5054,24/2/2023,360,57078-291087
5055,24/2/2023,261,31879-121687
5056,3/2/2023,357,57220-291274
5057,15/2/2023,338,56638-290536
5058,21/2/2023,101,18782-188447
5059,7/2/2023,179,20069-202164
5060,16/2/2023,251,1473-136503
5061,20/2/2023,423,50094-272708
5062,6/2/2023,291,33721-44759
5063,12/2/2023,421,30819-102783
5064,24/2/2023,297,26227-243904
5065,24/2/2023,21,6144-297244
5066,19/2/2023,284,53397-285571
5067,6/2/2023,452,23182-228364
5068,20/2/2023,39,33710-13646
5069,26/2/2023,304,30797-100558
5070,4/2/2023,472,48161-259669
5071,23/2/2023,30,55682-289581
5072,4/2/2023,106,16681-168584
5073,20/2/2023,195,19971-188453
5074,17/2/2023,291,30797-100558
5075,25/2/2023,97,26451-230784
5076,24/2/2023,468,31445-107044
5077,13/2/2023,8,54792-288504
5078,22/2/2023,107,22328-202165
5079,19/2/2023,23,56422-290314
5080,23/2/2023,244,55601-289467
5081,23/2/2023,199,32598-136501
5082,5/2/2023,435,33746-96051
5083,14/2/2023,322,2037-136505
5084,5/2/2023,169,59788-294170
