id_order,order_date,id_customer,id_branch
2001,5/2/2023,321,20367-205084
2002,27/2/2023,269,30819-102783
2003,5/2/2023,273,66147-300652
2004,15/2/2023,396,33742-95037
2005,1/2/2023,296,26450-240784
2006,8/2/2023,222,52356-281373
2007,23/2/2023,240,29041-252084
2008,23/2/2023,372,63132-297747
2009,19/2/2023,354,31627-114005
2010,23/2/2023,454,51671-278945
2011,17/2/2023,364,54072-286315
2012,26/2/2023,33,21406-211888
2013,26/2/2023,22,51605-278707
2014,23/2/2023,70,60170-294182
2015,17/2/2023,142,29996-256330
2016,22/2/2023,135,27326-247165
2017,2/2/2023,136,33743-95068
2018,8/2/2023,100,23755-233148
2019,23/2/2023,354,31108-104468
2020,6/2/2023,165,24235-220827
2021,24/2/2023,179,60389-294635
2022,25/2/2023,418,30818-102733
2023,26/2/2023,114,21907-216326
2024,27/2/2023,478,24447-237864
2025,19/2/2023,410,52817-283108
2026,26/2/2023,73,52792-282946
2027,19/2/2023,243,59638-293877
2028,6/2/2023,363,19002-191244
2029,22/2/2023,454,23755-233148
2030,27/2/2023,215,3152-136561
2031,1/2/2023,227,25508-241152
2032,14/2/2023,167,16681-168584
2033,5/2/2023,210,56638-290536
2034,24/2/2023,216,58668-292929
2035,2/2/2023,105,53249-284046
2036,16/2/2023,31,59595-293827
2037,6/2/2023,226,58670-292928
2038,15/2/2023,28,25740-242173
2039,20/2/2023,235,33758-99602
2040,6/2/2023,87,63956-298657
2041,25/2/2023,50,33704-289295
2042,11/2/2023,121,48239-254286
2043,4/2/2023,222,33762-100218
2044,5/2/2023,97,58148-292274
2045,1/2/2023,99,55426-289298
2046,21/2/2023,371,59295-293528
2047,18/2/2023,391,57226-291279
2048,12/2/2023,130,29166-252506
2049,6/2/2023,248,49375-268164
2050,25/2/2023,92,54792-288504
2051,9/2/2023,420,26559-244388
2052,25/2/2023,293,21631-213624
2053,11/2/2023,419,56366-290242
2054,23/2/2023,285,16387-163825
2055,6/2/2023,47,55427-289297
2056,14/2/2023,45,52817-283108
2057,3/2/2023,330,54043-286297
2058,21/2/2023,205,49285-267764
2059,12/2/2023,117,58396-292575
2060,16/2/2023,350,26764-245184
2061,2/2/2023,456,53532-285712
2062,23/2/2023,34,15337-156229
2063,5/2/2023,138,1488-142949
2064,20/2/2023,49,32356-152026
2065,3/2/2023,202,16147-153305
2066,16/2/2023,215,31820-123524
2067,9/2/2023,119,33750-296321
2068,15/2/2023,500,33756-98549
2069,20/2/2023,427,33755-99308
2070,4/2/2023,262,19218-294354
2071,14/2/2023,365,25152-239944
2072,2/2/2023,440,23396-229764
2073,16/2/2023,197,53383-285565
2074,10/2/2023,266,48733-264826
2075,5/2/2023,379,49018-266307
2076,21/2/2023,405,28840-251144
2077,12/2/2023,352,32038-129624
2078,15/2/2023,355,32359-136499
2079,5/2/2023,269,65729-299194
2080,16/2/2023,69,24234-234344
2081,18/2/2023,140,33702-295613
2082,20/2/2023,386,28839-251146
2083,12/2/2023,436,17707-182486
2084,17/2/2023,56,32598-136501
2085,10/2/2023,436,33728-152607
2086,5/2/2023,59,23817-233151
