id_branch,id_ingredient,quantity
20069-202164,1,90
20069-202164,2,224
20069-202164,3,132
20069-202164,4,191
20069-202164,5,146
20069-202164,6,164
20069-202164,7,117
20069-202164,8,132
20069-202164,9,93
20069-202164,10,245
20069-202164,11,90
20069-202164,12,80
20069-202164,13,290
20069-202164,14,245
20069-202164,15,42
20069-202164,16,270
20069-202164,17,156
20069-202164,18,110
20069-202164,19,269
20069-202164,20,291
20069-202164,21,257
20069-202164,22,257
20069-202164,23,238
20069-202164,24,16
20069-202164,25,150
20069-202164,26,45
56313-290069,1,90
56313-290069,2,280
56313-290069,3,163
56313-290069,4,110
56313-290069,5,139
56313-290069,6,286
56313-290069,7,192
56313-290069,8,56
56313-290069,9,300
56313-290069,10,116
56313-290069,11,125
56313-290069,12,93
56313-290069,13,200
56313-290069,14,70
56313-290069,15,122
56313-290069,16,283
56313-290069,17,170
56313-290069,18,91
56313-290069,19,251
56313-290069,20,205
56313-290069,21,150
56313-290069,22,58
56313-290069,23,96
56313-290069,24,299
56313-290069,25,267
56313-290069,26,42
27192-246869,1,23
27192-246869,2,160
27192-246869,3,29
27192-246869,4,55
27192-246869,5,95
27192-246869,6,69
27192-246869,7,185
27192-246869,8,278
27192-246869,9,17
27192-246869,10,30
27192-246869,11,236
27192-246869,12,159
27192-246869,13,85
27192-246869,14,157
27192-246869,15,296
27192-246869,16,227
27192-246869,17,86
27192-246869,18,154
27192-246869,19,64
27192-246869,20,72
27192-246869,21,189
27192-246869,22,39
27192-246869,23,206
27192-246869,24,41
27192-246869,25,183
27192-246869,26,282
18776-195209,1,31
18776-195209,2,169
18776-195209,3,163
18776-195209,4,36
18776-195209,5,232
18776-195209,6,291
18776-195209,7,65
18776-195209,8,61
18776-195209,9,205
18776-195209,10,203
18776-195209,11,21
18776-195209,12,281
18776-195209,13,287
18776-195209,14,60
18776-195209,15,198
18776-195209,16,18
18776-195209,17,117
18776-195209,18,201
18776-195209,19,223
18776-195209,20,52
18776-195209,21,296
18776-195209,22,264
18776-195209,23,103
18776-195209,24,248
18776-195209,25,105
18776-195209,26,260
54791-288503,1,154
54791-288503,2,184
54791-288503,3,235
54791-288503,4,277
54791-288503,5,226
54791-288503,6,192
54791-288503,7,90
54791-288503,8,182
54791-288503,9,123
54791-288503,10,274
54791-288503,11,157
54791-288503,12,142
54791-288503,13,191
54791-288503,14,165
54791-288503,15,122
54791-288503,16,32
54791-288503,17,93
54791-288503,18,245
54791-288503,19,172
54791-288503,20,130
54791-288503,21,289
54791-288503,22,119
54791-288503,23,105
54791-288503,24,271
54791-288503,25,39
54791-288503,26,130
54790-288505,1,64
54790-288505,2,84
54790-288505,3,204
54790-288505,4,259
54790-288505,5,23
54790-288505,6,137
54790-288505,7,145
54790-288505,8,150
54790-288505,9,292
54790-288505,10,264
54790-288505,11,214
54790-288505,12,224
54790-288505,13,72
54790-288505,14,156
54790-288505,15,250
54790-288505,16,58
54790-288505,17,103
54790-288505,18,291
54790-288505,19,184
54790-288505,20,282
54790-288505,21,123
54790-288505,22,231
54790-288505,23,50
54790-288505,24,88
54790-288505,25,132
54790-288505,26,155
18775-255865,1,171
18775-255865,2,73
18775-255865,3,161
18775-255865,4,223
18775-255865,5,37
18775-255865,6,137
18775-255865,7,50
18775-255865,8,127
18775-255865,9,233
18775-255865,10,281
18775-255865,11,46
18775-255865,12,62
18775-255865,13,144
18775-255865,14,281
18775-255865,15,100
18775-255865,16,227
18775-255865,17,241
18775-255865,18,154
18775-255865,19,131
18775-255865,20,57
18775-255865,21,291
18775-255865,22,35
18775-255865,23,57
18775-255865,24,42
18775-255865,25,55
18775-255865,26,239
58669-292939,1,261
58669-292939,2,88
58669-292939,3,48
58669-292939,4,283
58669-292939,5,122
58669-292939,6,38
58669-292939,7,156
58669-292939,8,40
58669-292939,9,209
58669-292939,10,80
58669-292939,11,123
58669-292939,12,106
58669-292939,13,250
58669-292939,14,130
58669-292939,15,192
58669-292939,16,193
58669-292939,17,96
58669-292939,18,77
58669-292939,19,254
58669-292939,20,80
58669-292939,21,135
58669-292939,22,216
58669-292939,23,288
58669-292939,24,39
58669-292939,25,222
58669-292939,26,234
54300-286574,1,87
54300-286574,2,43
54300-286574,3,68
54300-286574,4,79
54300-286574,5,194
54300-286574,6,165
54300-286574,7,233
54300-286574,8,248
54300-286574,9,114
54300-286574,10,16
54300-286574,11,41
54300-286574,12,38
54300-286574,13,73
54300-286574,14,275
54300-286574,15,98
54300-286574,16,91
54300-286574,17,163
54300-286574,18,291
54300-286574,19,116
54300-286574,20,271
54300-286574,21,131
54300-286574,22,254
54300-286574,23,237
54300-286574,24,224
54300-286574,25,91
54300-286574,26,299
54792-288504,1,158
54792-288504,2,180
54792-288504,3,75
54792-288504,4,252
54792-288504,5,242
54792-288504,6,136
54792-288504,7,28
54792-288504,8,124
54792-288504,9,20
54792-288504,10,22
54792-288504,11,155
54792-288504,12,245
54792-288504,13,128
54792-288504,14,89
54792-288504,15,70
54792-288504,16,135
54792-288504,17,37
54792-288504,18,130
54792-288504,19,229
54792-288504,20,176
54792-288504,21,173
54792-288504,22,130
54792-288504,23,109
54792-288504,24,214
54792-288504,25,204
54792-288504,26,188
58395-292576,1,233
58395-292576,2,74
58395-292576,3,264
58395-292576,4,153
58395-292576,5,16
58395-292576,6,234
58395-292576,7,112
58395-292576,8,240
58395-292576,9,16
58395-292576,10,237
58395-292576,11,167
58395-292576,12,222
58395-292576,13,53
58395-292576,14,122
58395-292576,15,130
58395-292576,16,101
58395-292576,17,34
58395-292576,18,284
58395-292576,19,88
58395-292576,20,41
58395-292576,21,98
58395-292576,22,80
58395-292576,23,150
58395-292576,24,296
58395-292576,25,146
58395-292576,26,111
31820-123524,1,214
31820-123524,2,64
31820-123524,3,255
31820-123524,4,41
31820-123524,5,32
31820-123524,6,189
31820-123524,7,61
31820-123524,8,199
31820-123524,9,165
31820-123524,10,82
31820-123524,11,37
31820-123524,12,183
31820-123524,13,290
31820-123524,14,296
31820-123524,15,52
31820-123524,16,104
31820-123524,17,143
31820-123524,18,60
31820-123524,19,121
31820-123524,20,64
31820-123524,21,108
31820-123524,22,108
31820-123524,23,125
31820-123524,24,106
31820-123524,25,175
31820-123524,26,79
47915-260265,1,75
47915-260265,2,139
47915-260265,3,143
47915-260265,4,40
47915-260265,5,282
47915-260265,6,141
47915-260265,7,170
47915-260265,8,101
47915-260265,9,107
47915-260265,10,244
47915-260265,11,24
47915-260265,12,73
47915-260265,13,73
47915-260265,14,81
47915-260265,15,144
47915-260265,16,282
47915-260265,17,155
47915-260265,18,134
47915-260265,19,138
47915-260265,20,22
47915-260265,21,138
47915-260265,22,28
47915-260265,23,26
47915-260265,24,101
47915-260265,25,158
47915-260265,26,95
32431-134825,1,103
32431-134825,2,183
32431-134825,3,78
32431-134825,4,293
32431-134825,5,20
32431-134825,6,50
32431-134825,7,60
32431-134825,8,96
32431-134825,9,131
32431-134825,10,295
32431-134825,11,201
32431-134825,12,158
32431-134825,13,230
32431-134825,14,298
32431-134825,15,244
32431-134825,16,264
32431-134825,17,224
32431-134825,18,179
32431-134825,19,75
32431-134825,20,53
32431-134825,21,98
32431-134825,22,113
32431-134825,23,157
32431-134825,24,95
32431-134825,25,178
32431-134825,26,282
33709-15178,1,247
33709-15178,2,242
33709-15178,3,85
33709-15178,4,149
33709-15178,5,44
33709-15178,6,174
33709-15178,7,116
33709-15178,8,87
33709-15178,9,52
33709-15178,10,149
33709-15178,11,297
33709-15178,12,285
33709-15178,13,289
33709-15178,14,84
33709-15178,15,18
33709-15178,16,192
33709-15178,17,94
33709-15178,18,78
33709-15178,19,217
33709-15178,20,292
33709-15178,21,34
33709-15178,22,47
33709-15178,23,99
33709-15178,24,278
33709-15178,25,263
33709-15178,26,180
58371-292546,1,211
58371-292546,2,165
58371-292546,3,36
58371-292546,4,215
58371-292546,5,126
58371-292546,6,204
58371-292546,7,300
58371-292546,8,105
58371-292546,9,53
58371-292546,10,33
58371-292546,11,76
58371-292546,12,132
58371-292546,13,187
58371-292546,14,211
58371-292546,15,99
58371-292546,16,112
58371-292546,17,98
58371-292546,18,32
58371-292546,19,257
58371-292546,20,19
58371-292546,21,106
58371-292546,22,275
58371-292546,23,168
58371-292546,24,244
58371-292546,25,265
58371-292546,26,173
50062-272467,1,217
50062-272467,2,73
50062-272467,3,16
50062-272467,4,107
50062-272467,5,134
50062-272467,6,170
50062-272467,7,121
50062-272467,8,75
50062-272467,9,41
50062-272467,10,283
50062-272467,11,129
50062-272467,12,278
50062-272467,13,157
50062-272467,14,168
50062-272467,15,79
50062-272467,16,105
50062-272467,17,210
50062-272467,18,164
50062-272467,19,245
50062-272467,20,172
50062-272467,21,140
50062-272467,22,262
50062-272467,23,115
50062-272467,24,64
50062-272467,25,266
50062-272467,26,26
26451-230784,1,98
26451-230784,2,16
26451-230784,3,252
26451-230784,4,281
26451-230784,5,255
26451-230784,6,143
26451-230784,7,222
26451-230784,8,178
26451-230784,9,17
26451-230784,10,171
26451-230784,11,24
26451-230784,12,99
26451-230784,13,38
26451-230784,14,189
26451-230784,15,95
26451-230784,16,131
26451-230784,17,23
26451-230784,18,93
26451-230784,19,27
26451-230784,20,158
26451-230784,21,153
26451-230784,22,130
26451-230784,23,87
26451-230784,24,243
26451-230784,25,221
26451-230784,26,220
33749-96437,1,285
33749-96437,2,144
33749-96437,3,109
33749-96437,4,194
33749-96437,5,160
33749-96437,6,120
33749-96437,7,216
33749-96437,8,104
33749-96437,9,97
33749-96437,10,145
33749-96437,11,60
33749-96437,12,218
33749-96437,13,174
33749-96437,14,254
33749-96437,15,19
33749-96437,16,215
33749-96437,17,89
33749-96437,18,300
33749-96437,19,72
33749-96437,20,230
33749-96437,21,193
33749-96437,22,105
33749-96437,23,181
33749-96437,24,34
33749-96437,25,196
33749-96437,26,101
33702-295613,1,166
33702-295613,2,119
33702-295613,3,223
33702-295613,4,287
33702-295613,5,61
33702-295613,6,79
33702-295613,7,267
33702-295613,8,269
33702-295613,9,186
33702-295613,10,155
33702-295613,11,74
33702-295613,12,132
33702-295613,13,126
33702-295613,14,87
33702-295613,15,255
33702-295613,16,294
33702-295613,17,62
