id_branch,id_ingredient,quantity
19182-188449,1,257
19182-188449,2,167
19182-188449,3,238
19182-188449,4,268
19182-188449,5,109
19182-188449,6,59
19182-188449,7,93
19182-188449,8,105
19182-188449,9,241
19182-188449,10,79
19182-188449,11,107
19182-188449,12,70
19182-188449,13,296
19182-188449,14,223
19182-188449,15,252
19182-188449,16,53
19182-188449,17,18
19182-188449,18,294
19182-188449,19,252
19182-188449,20,34
19182-188449,21,214
19182-188449,22,241
19182-188449,23,120
19182-188449,24,134
19182-188449,25,109
19182-188449,26,206
15220-158906,1,271
15220-158906,2,156
15220-158906,3,107
15220-158906,4,232
15220-158906,5,257
15220-158906,6,65
15220-158906,7,228
15220-158906,8,84
15220-158906,9,131
15220-158906,10,174
15220-158906,11,18
15220-158906,12,211
15220-158906,13,279
15220-158906,14,271
15220-158906,15,149
15220-158906,16,71
15220-158906,17,232
15220-158906,18,31
15220-158906,19,26
15220-158906,20,203
15220-158906,21,151
15220-158906,22,18
15220-158906,23,250
15220-158906,24,107
15220-158906,25,15
15220-158906,26,254
63132-297747,1,76
63132-297747,2,87
63132-297747,3,152
63132-297747,4,156
63132-297747,5,246
63132-297747,6,264
63132-297747,7,137
63132-297747,8,19
63132-297747,9,49
63132-297747,10,37
63132-297747,11,120
63132-297747,12,282
63132-297747,13,64
63132-297747,14,74
63132-297747,15,177
63132-297747,16,283
63132-297747,17,21
63132-297747,18,153
63132-297747,19,226
63132-297747,20,28
63132-297747,21,238
63132-297747,22,281
63132-297747,23,16
63132-297747,24,37
63132-297747,25,273
63132-297747,26,149
22334-218964,1,60
22334-218964,2,115
22334-218964,3,104
22334-218964,4,40
22334-218964,5,174
22334-218964,6,224
22334-218964,7,18
22334-218964,8,244
22334-218964,9,61
22334-218964,10,234
22334-218964,11,97
22334-218964,12,83
22334-218964,13,276
22334-218964,14,178
22334-218964,15,221
22334-218964,16,180
22334-218964,17,75
22334-218964,18,207
22334-218964,19,52
22334-218964,20,199
22334-218964,21,216
22334-218964,22,294
22334-218964,23,164
22334-218964,24,68
22334-218964,25,238
22334-218964,26,167
32356-152026,1,86
32356-152026,2,70
32356-152026,3,281
32356-152026,4,118
32356-152026,5,48
32356-152026,6,76
32356-152026,7,202
32356-152026,8,153
32356-152026,9,18
32356-152026,10,299
32356-152026,11,71
32356-152026,12,131
32356-152026,13,16
32356-152026,14,222
32356-152026,15,82
32356-152026,16,253
32356-152026,17,39
32356-152026,18,21
32356-152026,19,260
32356-152026,20,219
32356-152026,21,43
32356-152026,22,278
32356-152026,23,82
32356-152026,24,54
32356-152026,25,242
32356-152026,26,78
32546-136497,1,76
32546-136497,2,263
32546-136497,3,19
32546-136497,4,113
32546-136497,5,239
32546-136497,6,50
32546-136497,7,241
32546-136497,8,74
32546-136497,9,177
32546-136497,10,116
