id_branch,id_ingredient,quantity
33761-285878,1,168
33761-285878,2,43
33761-285878,3,148
33761-285878,4,247
33761-285878,5,151
33761-285878,6,33
33761-285878,7,44
33761-285878,8,201
33761-285878,9,105
33761-285878,10,225
33761-285878,11,83
33761-285878,12,243
33761-285878,13,203
33761-285878,14,219
33761-285878,15,202
33761-285878,16,292
33761-285878,17,143
33761-285878,18,264
33761-285878,19,135
33761-285878,20,133
33761-285878,21,37
33761-285878,22,142
33761-285878,23,126
33761-285878,24,100
33761-285878,25,82
33761-285878,26,129
33754-97972,1,116
33754-97972,2,275
33754-97972,3,283
33754-97972,4,274
33754-97972,5,299
33754-97972,6,114
33754-97972,7,240
33754-97972,8,88
33754-97972,9,79
33754-97972,10,169
33754-97972,11,95
33754-97972,12,223
33754-97972,13,80
33754-97972,14,192
33754-97972,15,249
33754-97972,16,88
33754-97972,17,119
33754-97972,18,167
33754-97972,19,104
33754-97972,20,92
33754-97972,21,176
33754-97972,22,143
33754-97972,23,168
33754-97972,24,176
33754-97972,25,166
33754-97972,26,292
62544-297025,1,228
62544-297025,2,286
62544-297025,3,170
62544-297025,4,94
62544-297025,5,258
62544-297025,6,21
62544-297025,7,247
62544-297025,8,223
62544-297025,9,32
62544-297025,10,177
62544-297025,11,240
62544-297025,12,279
62544-297025,13,249
62544-297025,14,77
62544-297025,15,79
62544-297025,16,120
62544-297025,17,98
62544-297025,18,62
62544-297025,19,236
62544-297025,20,297
62544-297025,21,31
62544-297025,22,81
62544-297025,23,296
62544-297025,24,275
62544-297025,25,119
62544-297025,26,200
26558-244424,1,177
26558-244424,2,202
26558-244424,3,129
26558-244424,4,29
26558-244424,5,207
26558-244424,6,79
26558-244424,7,290
26558-244424,8,158
26558-244424,9,62
26558-244424,10,170
26558-244424,11,283
26558-244424,12,57
26558-244424,13,260
26558-244424,14,90
26558-244424,15,113
26558-244424,16,268
26558-244424,17,121
26558-244424,18,137
26558-244424,19,164
26558-244424,20,110
26558-244424,21,160
26558-244424,22,290
26558-244424,23,171
26558-244424,24,59
26558-244424,25,124
26558-244424,26,300
1526-135685,1,265
1526-135685,2,99
1526-135685,3,164
1526-135685,4,295
1526-135685,5,259
1526-135685,6,259
1526-135685,7,174
1526-135685,8,77
1526-135685,9,252
1526-135685,10,68
1526-135685,11,40
1526-135685,12,20
1526-135685,13,69
1526-135685,14,25
1526-135685,15,231
1526-135685,16,285
1526-135685,17,133
1526-135685,18,87
1526-135685,19,284
1526-135685,20,243
1526-135685,21,286
1526-135685,22,200
1526-135685,23,21
1526-135685,24,25
1526-135685,25,300
1526-135685,26,186
51675-278965,1,159
51675-278965,2,182
51675-278965,3,256
51675-278965,4,263
51675-278965,5,45
51675-278965,6,275
51675-278965,7,32
51675-278965,8,44
51675-278965,9,233
51675-278965,10,157
51675-278965,11,102
51675-278965,12,35
51675-278965,13,194
51675-278965,14,55
51675-278965,15,40
51675-278965,16,91
51675-278965,17,235
51675-278965,18,215
51675-278965,19,74
51675-278965,20,65
51675-278965,21,142
51675-278965,22,178
51675-278965,23,72
51675-278965,24,211
51675-278965,25,172
51675-278965,26,204
55426-289298,1,88
55426-289298,2,213
55426-289298,3,153
55426-289298,4,159
55426-289298,5,150
55426-289298,6,141
55426-289298,7,55
55426-289298,8,129
55426-289298,9,46
55426-289298,10,155
55426-289298,11,269
55426-289298,12,16
55426-289298,13,115
55426-289298,14,117
55426-289298,15,283
55426-289298,16,118
55426-289298,17,112
55426-289298,18,242
55426-289298,19,299
55426-289298,20,26
55426-289298,21,134
55426-289298,22,97
55426-289298,23,292
55426-289298,24,188
55426-289298,25,249
55426-289298,26,19
29561-254287,1,221
29561-254287,2,218
29561-254287,3,215
29561-254287,4,222
29561-254287,5,207
29561-254287,6,171
29561-254287,7,286
29561-254287,8,106
29561-254287,9,280
29561-254287,10,149
29561-254287,11,292
29561-254287,12,273
29561-254287,13,137
29561-254287,14,230
29561-254287,15,87
29561-254287,16,171
29561-254287,17,274
29561-254287,18,197
29561-254287,19,147
29561-254287,20,242
29561-254287,21,196
29561-254287,22,62
29561-254287,23,247
29561-254287,24,90
29561-254287,25,77
29561-254287,26,222
30726-101017,1,28
30726-101017,2,103
30726-101017,3,123
30726-101017,4,185
30726-101017,5,94
30726-101017,6,205
30726-101017,7,55
30726-101017,8,117
30726-101017,9,292
30726-101017,10,34
30726-101017,11,297
30726-101017,12,205
30726-101017,13,127
30726-101017,14,168
30726-101017,15,262
30726-101017,16,68
30726-101017,17,34
30726-101017,18,126
30726-101017,19,89
30726-101017,20,129
30726-101017,21,59
30726-101017,22,48
30726-101017,23,40
30726-101017,24,170
30726-101017,25,117
30726-101017,26,57
33744-95479,1,270
33744-95479,2,274
33744-95479,3,38
33744-95479,4,135
33744-95479,5,234
33744-95479,6,230
33744-95479,7,278
33744-95479,8,288
33744-95479,9,183
33744-95479,10,81
33744-95479,11,65
33744-95479,12,123
33744-95479,13,32
33744-95479,14,44
33744-95479,15,285
33744-95479,16,192
33744-95479,17,125
33744-95479,18,137
33744-95479,19,113
33744-95479,20,128
33744-95479,21,204
33744-95479,22,207
33744-95479,23,263
33744-95479,24,24
33744-95479,25,80
33744-95479,26,40
18046-188445,1,223
18046-188445,2,127
18046-188445,3,105
18046-188445,4,50
18046-188445,5,265
18046-188445,6,145
18046-188445,7,290
18046-188445,8,143
18046-188445,9,182
18046-188445,10,154
18046-188445,11,82
18046-188445,12,174
18046-188445,13,295
18046-188445,14,41
18046-188445,15,243
18046-188445,16,221
18046-188445,17,161
18046-188445,18,107
18046-188445,19,24
18046-188445,20,93
18046-188445,21,122
18046-188445,22,265
18046-188445,23,62
18046-188445,24,273
18046-188445,25,161
18046-188445,26,83
32183-131672,1,184
32183-131672,2,225
32183-131672,3,143
32183-131672,4,222
32183-131672,5,138
32183-131672,6,57
32183-131672,7,53
32183-131672,8,106
32183-131672,9,151
32183-131672,10,46
32183-131672,11,184
32183-131672,12,120
32183-131672,13,64
32183-131672,14,266
32183-131672,15,51
32183-131672,16,160
32183-131672,17,21
32183-131672,18,51
32183-131672,19,64
32183-131672,20,46
32183-131672,21,97
32183-131672,22,259
32183-131672,23,214
32183-131672,24,182
32183-131672,25,189
32183-131672,26,79
25905-242705,1,268
25905-242705,2,167
25905-242705,3,218
25905-242705,4,60
25905-242705,5,202
25905-242705,6,151
25905-242705,7,248
25905-242705,8,51
25905-242705,9,206
25905-242705,10,273
25905-242705,11,71
25905-242705,12,242
25905-242705,13,219
25905-242705,14,249
25905-242705,15,21
25905-242705,16,269
25905-242705,17,240
25905-242705,18,121
25905-242705,19,116
25905-242705,20,168
25905-242705,21,35
25905-242705,22,251
25905-242705,23,283
25905-242705,24,185
25905-242705,25,132
25905-242705,26,273
54296-286575,1,161
54296-286575,2,269
54296-286575,3,242
54296-286575,4,264
54296-286575,5,262
54296-286575,6,126
54296-286575,7,175
54296-286575,8,99
54296-286575,9,261
54296-286575,10,40
54296-286575,11,86
54296-286575,12,63
54296-286575,13,191
54296-286575,14,125
54296-286575,15,222
54296-286575,16,50
54296-286575,17,25
54296-286575,18,139
54296-286575,19,46
54296-286575,20,207
54296-286575,21,90
54296-286575,22,272
54296-286575,23,117
54296-286575,24,68
54296-286575,25,265
54296-286575,26,228
59841-293990,1,129
59841-293990,2,231
59841-293990,3,283
59841-293990,4,281
59841-293990,5,114
59841-293990,6,149
59841-293990,7,184
59841-293990,8,178
59841-293990,9,252
59841-293990,10,138
59841-293990,11,127
59841-293990,12,264
59841-293990,13,147
59841-293990,14,27
59841-293990,15,81
59841-293990,16,89
59841-293990,17,205
59841-293990,18,42
59841-293990,19,134
59841-293990,20,134
59841-293990,21,50
