id_branch,id_ingredient,quantity
52817-283108,1,196
52817-283108,2,56
52817-283108,3,40
52817-283108,4,63
52817-283108,5,294
52817-283108,6,100
52817-283108,7,46
52817-283108,8,204
52817-283108,9,110
52817-283108,10,43
52817-283108,11,207
52817-283108,12,200
52817-283108,13,141
52817-283108,14,204
52817-283108,15,257
52817-283108,16,95
52817-283108,17,185
52817-283108,18,218
52817-283108,19,130
52817-283108,20,148
52817-283108,21,54
52817-283108,22,189
52817-283108,23,225
52817-283108,24,22
52817-283108,25,41
52817-283108,26,289
48239-254286,1,187
48239-254286,2,209
48239-254286,3,296
48239-254286,4,225
48239-254286,5,255
48239-254286,6,229
48239-254286,7,161
48239-254286,8,133
48239-254286,9,68
48239-254286,10,119
48239-254286,11,17
48239-254286,12,266
48239-254286,13,125
48239-254286,14,27
48239-254286,15,89
48239-254286,16,180
48239-254286,17,74
48239-254286,18,229
48239-254286,19,168
48239-254286,20,213
48239-254286,21,128
48239-254286,22,218
48239-254286,23,269
48239-254286,24,126
48239-254286,25,243
48239-254286,26,275
15495-157924,1,23
15495-157924,2,193
15495-157924,3,119
15495-157924,4,104
15495-157924,5,223
15495-157924,6,110
15495-157924,7,251
15495-157924,8,145
15495-157924,9,57
15495-157924,10,166
15495-157924,11,169
15495-157924,12,228
15495-157924,13,260
15495-157924,14,52
15495-157924,15,40
15495-157924,16,126
15495-157924,17,159
15495-157924,18,300
15495-157924,19,67
15495-157924,20,74
15495-157924,21,193
15495-157924,22,23
15495-157924,23,264
15495-157924,24,163
15495-157924,25,184
15495-157924,26,158
54072-286315,1,51
54072-286315,2,18
54072-286315,3,167
54072-286315,4,160
54072-286315,5,271
54072-286315,6,91
54072-286315,7,41
54072-286315,8,130
54072-286315,9,275
54072-286315,10,260
54072-286315,11,123
54072-286315,12,137
54072-286315,13,251
54072-286315,14,239
54072-286315,15,149
54072-286315,16,173
54072-286315,17,48
54072-286315,18,38
54072-286315,19,222
54072-286315,20,196
54072-286315,21,42
54072-286315,22,178
54072-286315,23,114
54072-286315,24,283
54072-286315,25,130
54072-286315,26,125
26231-243905,1,279
26231-243905,2,117
26231-243905,3,146
26231-243905,4,98
26231-243905,5,246
26231-243905,6,275
26231-243905,7,42
26231-243905,8,254
26231-243905,9,144
26231-243905,10,197
26231-243905,11,289
26231-243905,12,40
26231-243905,13,202
26231-243905,14,122
26231-243905,15,237
26231-243905,16,104
26231-243905,17,69
26231-243905,18,190
26231-243905,19,238
26231-243905,20,255
26231-243905,21,83
26231-243905,22,291
26231-243905,23,92
26231-243905,24,86
26231-243905,25,201
26231-243905,26,86
63198-297844,1,290
63198-297844,2,149
63198-297844,3,269
63198-297844,4,36
63198-297844,5,217
63198-297844,6,256
63198-297844,7,210
63198-297844,8,109
63198-297844,9,117
63198-297844,10,99
63198-297844,11,129
63198-297844,12,256
63198-297844,13,229
63198-297844,14,60
63198-297844,15,153
63198-297844,16,62
63198-297844,17,85
63198-297844,18,276
63198-297844,19,208
63198-297844,20,27
63198-297844,21,189
63198-297844,22,33
63198-297844,23,177
63198-297844,24,47
63198-297844,25,54
63198-297844,26,296
66147-300652,1,256
66147-300652,2,178
66147-300652,3,191
66147-300652,4,142
66147-300652,5,285
66147-300652,6,280
66147-300652,7,117
66147-300652,8,175
66147-300652,9,143
66147-300652,10,213
66147-300652,11,129
66147-300652,12,87
66147-300652,13,289
66147-300652,14,97
66147-300652,15,51
66147-300652,16,215
66147-300652,17,124
66147-300652,18,288
66147-300652,19,255
66147-300652,20,144
66147-300652,21,83
66147-300652,22,40
66147-300652,23,256
66147-300652,24,40
66147-300652,25,146
66147-300652,26,114
66161-300650,1,37
66161-300650,2,150
66161-300650,3,272
66161-300650,4,208
66161-300650,5,141
66161-300650,6,183
66161-300650,7,34
66161-300650,8,162
66161-300650,9,228
66161-300650,10,271
66161-300650,11,213
66161-300650,12,201
66161-300650,13,212
66161-300650,14,51
66161-300650,15,93
66161-300650,16,74
66161-300650,17,286
66161-300650,18,18
66161-300650,19,199
66161-300650,20,21
66161-300650,21,244
66161-300650,22,30
66161-300650,23,84
66161-300650,24,122
66161-300650,25,167
66161-300650,26,225
25906-242707,1,230
25906-242707,2,107
25906-242707,3,26
25906-242707,4,218
25906-242707,5,227
25906-242707,6,70
25906-242707,7,232
25906-242707,8,126
25906-242707,9,278
25906-242707,10,289
25906-242707,11,81
25906-242707,12,297
25906-242707,13,73
25906-242707,14,228
25906-242707,15,60
25906-242707,16,230
25906-242707,17,47
25906-242707,18,16
25906-242707,19,108
25906-242707,20,179
25906-242707,21,84
25906-242707,22,247
25906-242707,23,122
25906-242707,24,133
25906-242707,25,257
25906-242707,26,98
1959-143984,1,38
1959-143984,2,257
1959-143984,3,29
1959-143984,4,63
1959-143984,5,296
1959-143984,6,283
1959-143984,7,133
1959-143984,8,94
1959-143984,9,265
1959-143984,10,157
1959-143984,11,182
1959-143984,12,184
1959-143984,13,69
1959-143984,14,61
1959-143984,15,36
1959-143984,16,170
1959-143984,17,107
1959-143984,18,77
1959-143984,19,136
1959-143984,20,291
1959-143984,21,74
1959-143984,22,183
1959-143984,23,190
1959-143984,24,17
1959-143984,25,42
1959-143984,26,43
18294-188424,1,272
18294-188424,2,264
18294-188424,3,283
18294-188424,4,219
18294-188424,5,64
18294-188424,6,244
18294-188424,7,258
18294-188424,8,183
18294-188424,9,191
18294-188424,10,149
18294-188424,11,224
18294-188424,12,235
18294-188424,13,48
18294-188424,14,117
18294-188424,15,87
18294-188424,16,18
18294-188424,17,137
18294-188424,18,205
18294-188424,19,252
18294-188424,20,288
18294-188424,21,104
18294-188424,22,156
18294-188424,23,18
18294-188424,24,296
18294-188424,25,19
18294-188424,26,192
29041-252084,1,41
29041-252084,2,219
29041-252084,3,207
29041-252084,4,252
29041-252084,5,269
29041-252084,6,253
29041-252084,7,246
29041-252084,8,51
29041-252084,9,154
29041-252084,10,92
29041-252084,11,177
29041-252084,12,29
29041-252084,13,193
29041-252084,14,235
29041-252084,15,241
29041-252084,16,90
29041-252084,17,30
29041-252084,18,60
29041-252084,19,76
29041-252084,20,185
29041-252084,21,208
29041-252084,22,211
29041-252084,23,183
29041-252084,24,200
29041-252084,25,186
29041-252084,26,127
1488-142949,1,211
1488-142949,2,179
1488-142949,3,272
1488-142949,4,30
1488-142949,5,272
1488-142949,6,216
1488-142949,7,36
1488-142949,8,129
1488-142949,9,52
1488-142949,10,94
1488-142949,11,20
1488-142949,12,255
1488-142949,13,206
1488-142949,14,29
1488-142949,15,255
1488-142949,16,186
1488-142949,17,111
1488-142949,18,293
1488-142949,19,17
1488-142949,20,195
1488-142949,21,182
1488-142949,22,61
1488-142949,23,61
1488-142949,24,123
1488-142949,25,134
1488-142949,26,273
33741-253264,1,128
33741-253264,2,240
33741-253264,3,135
33741-253264,4,288
33741-253264,5,296
33741-253264,6,174
33741-253264,7,275
33741-253264,8,241
33741-253264,9,263
33741-253264,10,277
33741-253264,11,225
33741-253264,12,263
33741-253264,13,142
33741-253264,14,125
33741-253264,15,287
33741-253264,16,123
33741-253264,17,274
33741-253264,18,127
33741-253264,19,157
33741-253264,20,95
33741-253264,21,28
33741-253264,22,267
33741-253264,23,42
33741-253264,24,287
33741-253264,25,100
33741-253264,26,238
32668-137246,1,73
32668-137246,2,127
32668-137246,3,235
32668-137246,4,231
32668-137246,5,276
32668-137246,6,143
32668-137246,7,93
32668-137246,8,117
32668-137246,9,124
32668-137246,10,114
32668-137246,11,150
32668-137246,12,185
32668-137246,13,15
32668-137246,14,151
32668-137246,15,209
32668-137246,16,253
32668-137246,17,62
32668-137246,18,75
32668-137246,19,169
32668-137246,20,189
32668-137246,21,39
32668-137246,22,247
32668-137246,23,163
32668-137246,24,87
32668-137246,25,153
32668-137246,26,23
60389-294635,1,226
60389-294635,2,72
60389-294635,3,299
60389-294635,4,98
60389-294635,5,206
60389-294635,6,228
60389-294635,7,129
60389-294635,8,96
60389-294635,9,216
60389-294635,10,38
60389-294635,11,23
60389-294635,12,144
60389-294635,13,109
60389-294635,14,110
60389-294635,15,281
60389-294635,16,53
60389-294635,17,287
60389-294635,18,18
60389-294635,19,86
60389-294635,20,91
60389-294635,21,33
60389-294635,22,36
60389-294635,23,292
60389-294635,24,78
60389-294635,25,213
60389-294635,26,24
25508-241152,1,18
25508-241152,2,196
25508-241152,3,282
25508-241152,4,290
25508-241152,5,134
25508-241152,6,33
25508-241152,7,53
25508-241152,8,264
25508-241152,9,279
25508-241152,10,125
25508-241152,11,19
25508-241152,12,204
25508-241152,13,136
25508-241152,14,79
25508-241152,15,27
25508-241152,16,286
25508-241152,17,256
25508-241152,18,179
25508-241152,19,215
25508-241152,20,205
25508-241152,21,121
25508-241152,22,280
25508-241152,23,141
25508-241152,24,77
25508-241152,25,88
25508-241152,26,244
1478-142236,1,168
1478-142236,2,153
1478-142236,3,35
1478-142236,4,181
1478-142236,5,240
1478-142236,6,232
1478-142236,7,202
1478-142236,8,92
1478-142236,9,24
1478-142236,10,149
1478-142236,11,118
1478-142236,12,175
1478-142236,13,57
1478-142236,14,221
1478-142236,15,92
1478-142236,16,240
1478-142236,17,27
1478-142236,18,91
1478-142236,19,102
1478-142236,20,114
1478-142236,21,75
1478-142236,22,165
1478-142236,23,286
1478-142236,24,139
1478-142236,25,193
1478-142236,26,42
52772-282791,1,133
52772-282791,2,165
52772-282791,3,215
52772-282791,4,100
52772-282791,5,298
52772-282791,6,279
52772-282791,7,283
52772-282791,8,88
52772-282791,9,136
52772-282791,10,177
52772-282791,11,233
52772-282791,12,18
52772-282791,13,26
52772-282791,14,113
52772-282791,15,68
52772-282791,16,277
52772-282791,17,171
52772-282791,18,242
52772-282791,19,65
52772-282791,20,102
52772-282791,21,150
52772-282791,22,94
52772-282791,23,178
52772-282791,24,188
52772-282791,25,57
52772-282791,26,223
21807-215328,1,89
21807-215328,2,70
21807-215328,3,188
21807-215328,4,177
21807-215328,5,237
21807-215328,6,133
21807-215328,7,246
21807-215328,8,22
21807-215328,9,207
21807-215328,10,51
21807-215328,11,143
21807-215328,12,186
21807-215328,13,141
21807-215328,14,37
21807-215328,15,53
21807-215328,16,33
21807-215328,17,269
21807-215328,18,205
21807-215328,19,283
21807-215328,20,117
21807-215328,21,279
21807-215328,22,20
21807-215328,23,167
21807-215328,24,57
21807-215328,25,187
21807-215328,26,42
13180-154211,1,257
13180-154211,2,36
13180-154211,3,133
13180-154211,4,71
13180-154211,5,272
13180-154211,6,281
13180-154211,7,253
13180-154211,8,191
13180-154211,9,181
13180-154211,10,233
13180-154211,11,211
13180-154211,12,39
13180-154211,13,106
13180-154211,14,119
13180-154211,15,230
13180-154211,16,40
13180-154211,17,95
13180-154211,18,219
13180-154211,19,143
13180-154211,20,135
13180-154211,21,298
13180-154211,22,147
13180-154211,23,110
13180-154211,24,29
13180-154211,25,86
13180-154211,26,23
57227-291278,1,83
57227-291278,2,26
57227-291278,3,297
57227-291278,4,111
57227-291278,5,128
57227-291278,6,258
57227-291278,7,58
57227-291278,8,92
57227-291278,9,221
57227-291278,10,145
57227-291278,11,31
57227-291278,12,111
57227-291278,13,284
57227-291278,14,140
57227-291278,15,201
57227-291278,16,208
57227-291278,17,229
57227-291278,18,82
57227-291278,19,259
57227-291278,20,248
57227-291278,21,264
57227-291278,22,111
