id_branch,id_ingredient,quantity
56616-290396,1,154
56616-290396,2,145
56616-290396,3,69
56616-290396,4,285
56616-290396,5,243
56616-290396,6,200
56616-290396,7,84
56616-290396,8,286
56616-290396,9,191
56616-290396,10,233
56616-290396,11,45
56616-290396,12,189
56616-290396,13,78
56616-290396,14,129
56616-290396,15,207
56616-290396,16,119
56616-290396,17,151
56616-290396,18,116
56616-290396,19,32
56616-290396,20,184
56616-290396,21,35
56616-290396,22,242
56616-290396,23,58
56616-290396,24,225
56616-290396,25,203
56616-290396,26,229
21808-215325,1,173
21808-215325,2,177
21808-215325,3,164
21808-215325,4,27
21808-215325,5,176
21808-215325,6,80
21808-215325,7,177
21808-215325,8,198
21808-215325,9,238
21808-215325,10,49
21808-215325,11,18
21808-215325,12,95
21808-215325,13,34
21808-215325,14,110
21808-215325,15,248
21808-215325,16,242
21808-215325,17,34
21808-215325,18,102
21808-215325,19,38
21808-215325,20,64
21808-215325,21,239
21808-215325,22,173
21808-215325,23,256
21808-215325,24,268
21808-215325,25,33
21808-215325,26,34
59638-293877,1,259
59638-293877,2,105
59638-293877,3,27
59638-293877,4,217
59638-293877,5,237
59638-293877,6,17
59638-293877,7,52
59638-293877,8,184
59638-293877,9,159
59638-293877,10,118
59638-293877,11,206
59638-293877,12,120
59638-293877,13,200
59638-293877,14,32
59638-293877,15,62
59638-293877,16,284
59638-293877,17,150
59638-293877,18,21
59638-293877,19,145
59638-293877,20,100
59638-293877,21,95
59638-293877,22,69
59638-293877,23,110
59638-293877,24,63
59638-293877,25,156
59638-293877,26,45
24447-237864,1,186
24447-237864,2,199
24447-237864,3,59
24447-237864,4,253
24447-237864,5,219
24447-237864,6,255
24447-237864,7,50
24447-237864,8,170
24447-237864,9,75
24447-237864,10,246
24447-237864,11,271
24447-237864,12,252
24447-237864,13,196
24447-237864,14,107
24447-237864,15,77
24447-237864,16,102
24447-237864,17,260
24447-237864,18,295
24447-237864,19,242
24447-237864,20,139
24447-237864,21,291
24447-237864,22,182
24447-237864,23,107
24447-237864,24,249
24447-237864,25,17
24447-237864,26,70
17339-169625,1,260
17339-169625,2,256
17339-169625,3,227
17339-169625,4,182
17339-169625,5,297
17339-169625,6,134
17339-169625,7,126
17339-169625,8,109
17339-169625,9,258
17339-169625,10,178
17339-169625,11,161
17339-169625,12,177
17339-169625,13,141
17339-169625,14,182
17339-169625,15,97
17339-169625,16,282
17339-169625,17,231
17339-169625,18,96
17339-169625,19,15
17339-169625,20,208
17339-169625,21,206
17339-169625,22,45
17339-169625,23,158
17339-169625,24,134
17339-169625,25,187
17339-169625,26,106
17595-183724,1,56
17595-183724,2,80
17595-183724,3,227
17595-183724,4,228
17595-183724,5,288
17595-183724,6,259
17595-183724,7,99
17595-183724,8,57
17595-183724,9,291
17595-183724,10,43
17595-183724,11,148
17595-183724,12,56
17595-183724,13,152
17595-183724,14,169
17595-183724,15,298
17595-183724,16,39
17595-183724,17,232
17595-183724,18,138
17595-183724,19,120
17595-183724,20,19
17595-183724,21,195
17595-183724,22,251
17595-183724,23,278
17595-183724,24,48
17595-183724,25,66
17595-183724,26,81
53429-285589,1,225
53429-285589,2,82
53429-285589,3,135
53429-285589,4,138
53429-285589,5,285
53429-285589,6,43
53429-285589,7,263
53429-285589,8,244
53429-285589,9,275
53429-285589,10,209
53429-285589,11,98
53429-285589,12,192
53429-285589,13,107
53429-285589,14,141
53429-285589,15,282
53429-285589,16,272
53429-285589,17,111
53429-285589,18,44
53429-285589,19,288
53429-285589,20,224
53429-285589,21,216
53429-285589,22,45
53429-285589,23,155
53429-285589,24,50
53429-285589,25,64
53429-285589,26,69
55668-289580,1,206
55668-289580,2,17
55668-289580,3,144
55668-289580,4,126
55668-289580,5,63
55668-289580,6,145
55668-289580,7,43
55668-289580,8,265
55668-289580,9,79
55668-289580,10,164
55668-289580,11,252
55668-289580,12,216
55668-289580,13,122
55668-289580,14,98
55668-289580,15,240
55668-289580,16,295
55668-289580,17,288
55668-289580,18,244
55668-289580,19,237
55668-289580,20,93
55668-289580,21,251
55668-289580,22,247
55668-289580,23,80
55668-289580,24,171
55668-289580,25,258
55668-289580,26,112
18684-188446,1,216
18684-188446,2,45
18684-188446,3,134
18684-188446,4,264
18684-188446,5,220
18684-188446,6,245
18684-188446,7,82
18684-188446,8,257
18684-188446,9,106
18684-188446,10,298
18684-188446,11,134
18684-188446,12,59
18684-188446,13,203
18684-188446,14,38
18684-188446,15,273
18684-188446,16,227
18684-188446,17,154
18684-188446,18,294
18684-188446,19,167
18684-188446,20,170
18684-188446,21,61
18684-188446,22,176
18684-188446,23,53
18684-188446,24,65
18684-188446,25,234
18684-188446,26,90
33724-54539,1,134
33724-54539,2,108
33724-54539,3,254
33724-54539,4,137
33724-54539,5,31
33724-54539,6,175
33724-54539,7,182
